Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
111375309,1/12/2021 12:48,1/12/2021 13:04,70782,963,49641,11th St & Penn Ave,1061,33rd St & Penn Ave ,Subscriber
111390480,1/13/2021 9:32,1/13/2021 9:39,70578,387,49391,E Liberty Blvd & Negley Ave,1064,Frankstown Ave & E Liberty Blvd,Subscriber
111441111,1/15/2021 17:43,1/15/2021 18:52,70935,4190,1072,Glasshouse,1072,Glasshouse,Subscriber
111529394,1/20/2021 16:00,1/20/2021 16:11,70910,612,1068,Forbes Ave & Murray Ave,1032,Walnut St & College St,Subscriber
111609524,1/24/2021 14:40,1/24/2021 21:12,70910,23511,1032,Walnut St & College St,1056,Wood St & Sixth Ave,Customer
111657020,1/27/2021 5:57,1/27/2021 6:17,70670,1204,1021,Taylor St & Liberty Ave,1027,Shady Ave & Ellsworth Ave,Subscriber
111744856,1/31/2021 17:43,1/31/2021 18:12,71192,1715,1093,S Bouquet Ave & Sennott St,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Subscriber
111744955,1/31/2021 18:12,1/31/2021 18:24,70917,730,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1041,Fifth Ave & S Bouquet St,Subscriber
111744957,1/31/2021 18:14,1/31/2021 18:25,70836,664,1007,Stevenson St & Forbes Ave,1002,Third Ave & Wood St,Subscriber
111745043,1/31/2021 18:45,1/31/2021 18:50,70293,252,1041,Fifth Ave & S Bouquet St,1041,Fifth Ave & S Bouquet St,Subscriber
111745052,1/31/2021 18:47,1/31/2021 19:25,70917,2265,1041,Fifth Ave & S Bouquet St,1097,Tennyson Ave & Fifth Ave,Customer
111745146,1/31/2021 19:37,1/31/2021 19:45,70817,445,1028,Penn Ave & Putnam St (Bakery Square),1032,Walnut St & College St,Customer
111745152,1/31/2021 19:39,1/31/2021 19:51,70153,770,1041,Fifth Ave & S Bouquet St,1041,Fifth Ave & S Bouquet St,Subscriber
111745158,1/31/2021 19:44,1/31/2021 20:07,70586,1385,1032,Walnut St & College St,1035,Fifth Ave & S Dithridge St,Customer
111745168,1/31/2021 19:48,1/31/2021 20:07,70963,1143,1032,Walnut St & College St,1035,Fifth Ave & S Dithridge St,Customer
111745299,1/31/2021 20:56,1/31/2021 21:09,71194,753,1023,Liberty Ave & Baum Blvd,1027,Shady Ave & Ellsworth Ave,Subscriber
111745356,1/31/2021 21:32,1/31/2021 21:49,71194,1048,1027,Shady Ave & Ellsworth Ave,1023,Liberty Ave & Baum Blvd,Subscriber
111745867,2/1/2021 0:42,2/1/2021 0:50,70798,515,49401,Stanton Ave & N Negley Ave,1029,Alder St & S Highland Ave,Subscriber
111745935,2/1/2021 0:50,2/1/2021 0:58,70982,497,1028,Penn Ave & Putnam St (Bakery Square),1029,Alder St & S Highland Ave,Subscriber
111753871,2/1/2021 8:02,2/1/2021 8:13,70510,686,49391,E Liberty Blvd & Negley Ave,1064,Frankstown Ave & E Liberty Blvd,Subscriber
111754742,2/1/2021 8:32,2/1/2021 8:34,70322,89,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
111755023,2/1/2021 8:42,2/1/2021 8:45,70322,168,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
111755440,2/1/2021 8:57,2/1/2021 9:15,70624,1136,1056,Wood St & Sixth Ave,1059,Burns White Center at 3 Crossings,Customer
111756152,2/1/2021 9:19,2/1/2021 9:40,70053,1273,49501,Penn Ave & 39th St,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),Subscriber
111756991,2/1/2021 9:49,2/1/2021 9:51,70322,100,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
111757738,2/1/2021 10:13,2/1/2021 10:50,70992,2250,49261,Wightman St & Forbes Ave,49271,S Craig St & 5th Ave,Customer
111758117,2/1/2021 10:26,2/2/2021 9:18,70838,82323,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1017,21st St & Penn Ave,Customer
111760462,2/1/2021 11:44,2/1/2021 12:07,70440,1378,1000,Liberty Ave & Stanwix St,1059,Burns White Center at 3 Crossings,Subscriber
111760801,2/1/2021 11:55,2/1/2021 12:10,70641,907,1094,O'Hara St & Desoto St,1035,Fifth Ave & S Dithridge St,Subscriber
111762227,2/1/2021 12:53,2/1/2021 12:55,70383,161,,BIKE 70383,,BIKE 70383,Customer
111762432,2/1/2021 13:03,2/1/2021 13:13,70024,628,49301,Centre Ave & N Craig St,49301,Centre Ave & N Craig St,Subscriber
111762495,2/1/2021 13:06,2/1/2021 13:10,70837,253,1044,Zulema St & Coltart Ave,1093,S Bouquet Ave & Sennott St,Subscriber
111762888,2/1/2021 13:26,2/1/2021 13:35,70080,557,1041,Fifth Ave & S Bouquet St,1034,Ellsworth Ave & N Neville St,Subscriber
111763116,2/1/2021 13:36,2/1/2021 13:48,70627,705,1034,Ellsworth Ave & N Neville St,1031,Maryland Ave & Ellsworth Ave,Subscriber
111763414,2/1/2021 13:55,2/1/2021 13:59,70837,207,1093,S Bouquet Ave & Sennott St,1044,Zulema St & Coltart Ave,Subscriber
